Year	Month	Lat	Lon	Effort
1986	5	-37.5	22.5	305533
1986	6	-32.5	17.5	309533
1986	6	-37.5	17.5	309533
1986	6	-32.5	22.5	305533
1986	6	-37.5	22.5	305533
1986	7	-32.5	17.5	309533
1986	7	-37.5	17.5	309533
1986	7	-32.5	22.5	305533
1986	7	-37.5	22.5	305533
1986	8	-32.5	17.5	55767
1986	8	-37.5	17.5	55767
1986	8	-32.5	22.5	636817
1986	8	-37.5	22.5	636817
1986	9	-32.5	17.5	55767
1986	9	-37.5	17.5	55767
1986	9	-32.5	22.5	636817
1986	9	-37.5	22.5	636817
1986	10	-32.5	17.5	55767
1986	10	-37.5	17.5	55767
1986	10	-32.5	22.5	636817
1986	10	-37.5	22.5	636817
1986	11	-32.5	17.5	274650
1986	11	-37.5	17.5	274650
1986	11	-32.5	22.5	448967
1986	11	-37.5	22.5	448967
1986	12	-32.5	17.5	274650
1986	12	-37.5	17.5	274650
1986	12	-32.5	22.5	448967
1986	12	-37.5	22.5	448967
1987	1	-32.5	17.5	274650
1987	1	-37.5	17.5	274650
1987	1	-32.5	22.5	448967
1987	1	-37.5	22.5	448967
1987	2	-32.5	17.5	411067
1987	2	-37.5	17.5	411067
1987	2	-32.5	22.5	350200
1987	2	-37.5	22.5	350200
1987	3	-32.5	17.5	411067
1987	3	-37.5	17.5	411067
1987	3	-32.5	22.5	350200
1987	3	-37.5	22.5	350200
1987	4	-32.5	17.5	411067
1987	4	-37.5	17.5	411067
1987	4	-32.5	22.5	350200
1987	4	-37.5	22.5	350200
1987	5	-32.5	17.5	637267
1987	5	-37.5	17.5	637267
1987	5	-32.5	22.5	207267
1987	5	-37.5	22.5	207267
1987	6	-32.5	17.5	637267
1987	6	-37.5	17.5	637267
1987	6	-32.5	22.5	207267
1987	6	-37.5	22.5	207267
1987	7	-32.5	17.5	637267
1987	7	-37.5	17.5	637267
1987	7	-32.5	22.5	207267
1987	7	-37.5	22.5	207267
1987	8	-32.5	17.5	259767
1987	8	-37.5	17.5	259767
1987	8	-32.5	22.5	590200
1987	8	-37.5	22.5	590200
1987	9	-32.5	17.5	259767
1987	9	-37.5	17.5	259767
1987	9	-32.5	22.5	590200
1987	9	-37.5	22.5	590200
1987	10	-32.5	17.5	259767
1987	10	-37.5	17.5	259767
1987	10	-32.5	22.5	590200
1987	10	-37.5	22.5	590200
1987	11	-32.5	17.5	674733
1987	11	-37.5	17.5	674733
1987	11	-32.5	22.5	97567
1987	11	-37.5	22.5	97567
1987	12	-32.5	17.5	674733
1987	12	-37.5	17.5	674733
1987	12	-32.5	22.5	97567
1987	12	-37.5	22.5	97567
1988	1	-32.5	17.5	674733
1988	1	-37.5	17.5	674733
1988	1	-32.5	22.5	97567
1988	1	-37.5	22.5	97567
1988	2	-32.5	17.5	905167
1988	2	-37.5	17.5	905167
1988	2	-32.5	22.5	224800
1988	2	-37.5	22.5	224800
1988	3	-32.5	17.5	905167
1988	3	-37.5	17.5	905167
1988	3	-32.5	22.5	224800
1988	3	-37.5	22.5	224800
1988	4	-32.5	17.5	905167
1988	4	-37.5	17.5	905167
1988	4	-32.5	22.5	224800
1988	4	-37.5	22.5	224800
1988	5	-32.5	17.5	451567
1988	5	-37.5	17.5	451567
1988	5	-32.5	22.5	60500
1988	5	-37.5	22.5	60500
1988	6	-32.5	17.5	451567
1988	6	-37.5	17.5	451567
1988	6	-32.5	22.5	60500
1988	6	-37.5	22.5	60500
1988	7	-32.5	17.5	451567
1988	7	-37.5	17.5	451567
1988	7	-32.5	22.5	60500
1988	7	-37.5	22.5	60500
1988	8	-32.5	17.5	147748
1988	8	-37.5	17.5	147748
1988	8	-32.5	22.5	615819
1988	8	-37.5	22.5	615819
1988	9	-32.5	17.5	147748
1988	9	-37.5	17.5	147748
1988	9	-32.5	22.5	615819
1988	9	-37.5	22.5	615819
1988	10	-32.5	17.5	147748
1988	10	-37.5	17.5	147748
1988	10	-32.5	22.5	615819
1988	10	-37.5	22.5	615819
1988	11	-32.5	17.5	383770
1988	11	-37.5	17.5	383770
1988	11	-32.5	22.5	101802
1988	11	-37.5	22.5	101802
1988	12	-32.5	17.5	383770
1988	12	-37.5	17.5	383770
1988	12	-32.5	22.5	101802
1988	12	-37.5	22.5	101802
1989	1	-32.5	17.5	226572
1989	1	-37.5	17.5	226572
1989	1	-32.5	22.5	220197
1989	1	-37.5	22.5	220197
1989	2	-32.5	17.5	339109
1989	2	-37.5	17.5	339109
1989	2	-32.5	22.5	171757
1989	2	-37.5	22.5	171757
1989	3	-32.5	17.5	339109
1989	3	-37.5	17.5	339109
1989	3	-32.5	22.5	171757
1989	3	-37.5	22.5	171757
1989	4	-32.5	17.5	339109
1989	4	-37.5	17.5	339109
1989	4	-32.5	22.5	171757
1989	4	-37.5	22.5	171757
1989	5	-32.5	17.5	525712
1989	5	-37.5	17.5	525712
1989	5	-32.5	22.5	101655
1989	5	-37.5	22.5	101655
1989	6	-32.5	17.5	525712
1989	6	-37.5	17.5	525712
1989	6	-32.5	22.5	101655
1989	6	-37.5	22.5	101655
1989	7	-32.5	17.5	525712
1989	7	-37.5	17.5	525712
1989	7	-32.5	22.5	101655
1989	7	-37.5	22.5	101655
1989	8	-32.5	17.5	214294
1989	8	-37.5	17.5	214294
1989	8	-32.5	22.5	289465
1989	8	-37.5	22.5	289465
1989	9	-32.5	17.5	214294
1989	9	-37.5	17.5	214294
1989	9	-32.5	22.5	289465
1989	9	-37.5	22.5	289465
1989	10	-32.5	17.5	214294
1989	10	-37.5	17.5	214294
1989	10	-32.5	22.5	289465
1989	10	-37.5	22.5	289465
1989	11	-32.5	17.5	556620
1989	11	-37.5	17.5	556620
1989	11	-32.5	22.5	47852
1989	11	-37.5	22.5	47852
1989	12	-32.5	17.5	556620
1989	12	-37.5	17.5	556620
1989	12	-32.5	22.5	47852
1989	12	-37.5	22.5	47852
1990	1	-32.5	17.5	78532
1990	1	-37.5	17.5	78532
1990	1	-32.5	22.5	70575
1990	1	-37.5	22.5	70575
1990	2	-32.5	17.5	117538
1990	2	-37.5	17.5	117538
1990	2	-32.5	22.5	55049
1990	2	-37.5	22.5	55049
1990	3	-32.5	17.5	117538
1990	3	-37.5	17.5	117538
1990	3	-32.5	22.5	55049
1990	3	-37.5	22.5	55049
1990	4	-32.5	17.5	117538
1990	4	-37.5	17.5	117538
1990	4	-32.5	22.5	55049
1990	4	-37.5	22.5	55049
1990	5	-32.5	17.5	182216
1990	5	-37.5	17.5	182216
1990	5	-32.5	22.5	32581
1990	5	-37.5	22.5	32581
1990	6	-32.5	17.5	182216
1990	6	-37.5	17.5	182216
1990	6	-32.5	22.5	32581
1990	6	-37.5	22.5	32581
1990	7	-32.5	17.5	182216
1990	7	-37.5	17.5	182216
1990	7	-32.5	22.5	32581
1990	7	-37.5	22.5	32581
1990	8	-32.5	17.5	74276
1990	8	-37.5	17.5	74276
1990	8	-32.5	22.5	92776
1990	8	-37.5	22.5	92776
1990	9	-32.5	17.5	74276
1990	9	-37.5	17.5	74276
1990	9	-32.5	22.5	92776
1990	9	-37.5	22.5	92776
1990	10	-32.5	17.5	74276
1990	10	-37.5	17.5	74276
1990	10	-32.5	22.5	92776
1990	10	-37.5	22.5	92776
1990	11	-32.5	17.5	192929
1990	11	-37.5	17.5	192929
1990	11	-32.5	22.5	15337
1990	11	-37.5	22.5	15337
1990	12	-32.5	17.5	192929
1990	12	-37.5	17.5	192929
1990	12	-32.5	22.5	15337
1990	12	-37.5	22.5	15337
