2004	7	-27.5	12.5	1805556
2004	7	-22.5	12.5	3611111
2004	8	-27.5	12.5	1805556
2004	8	-22.5	12.5	3611111
2004	9	-27.5	12.5	1805556
2004	9	-22.5	12.5	3611111
2004	10	-27.5	12.5	1805556
2004	10	-22.5	12.5	3611111
2004	11	-27.5	12.5	1805556
2004	11	-22.5	12.5	3611111
2004	12	-27.5	12.5	1805556
2004	12	-22.5	12.5	3611111
2005	1	-27.5	12.5	2333333
2005	1	-22.5	12.5	4666667
2005	2	-27.5	12.5	2333333
2005	2	-22.5	12.5	4666667
2005	3	-27.5	12.5	2333333
2005	3	-22.5	12.5	4666667
2005	4	-27.5	12.5	2333333
2005	4	-22.5	12.5	4666667
2005	5	-27.5	12.5	2333333
2005	5	-22.5	12.5	4666667
2005	6	-27.5	12.5	2333333
2005	6	-22.5	12.5	4666667
2005	7	-27.5	12.5	2333333
2005	7	-22.5	12.5	4666667
2005	8	-27.5	12.5	2333333
2005	8	-22.5	12.5	4666667
2005	9	-27.5	12.5	2333333
2005	9	-22.5	12.5	4666667
2005	10	-27.5	12.5	2333333
2005	10	-22.5	12.5	4666667
2005	11	-27.5	12.5	2333333
2005	11	-22.5	12.5	4666667
2005	12	-27.5	12.5	2333333
2005	12	-22.5	12.5	4666667
2006	1	-27.5	12.5	1861111
2006	1	-22.5	12.5	3722222
2006	2	-27.5	12.5	1861111
2006	2	-22.5	12.5	3722222
2006	3	-27.5	12.5	1861111
2006	3	-22.5	12.5	3722222
2006	4	-27.5	12.5	1861111
2006	4	-22.5	12.5	3722222
2006	5	-27.5	12.5	1861111
2006	5	-22.5	12.5	3722222
2006	6	-27.5	12.5	1861111
2006	6	-22.5	12.5	3722222
2006	7	-27.5	12.5	1861111
2006	7	-22.5	12.5	3722222
2006	8	-27.5	12.5	1861111
2006	8	-22.5	12.5	3722222
2006	9	-27.5	12.5	1861111
2006	9	-22.5	12.5	3722222
2006	10	-27.5	12.5	1861111
2006	10	-22.5	12.5	3722222
