YearC,Lat,Lon,Eff1Type,SumOfEff1
2003,20,0,NO.HOOKS,2341103
2003,20,5,NO.HOOKS,757765
2003,20,10,NO.HOOKS,834070
2003,25,0,NO.HOOKS,2605591
2003,25,5,NO.HOOKS,4798034
2003,25,10,NO.HOOKS,1448927
2003,30,0,NO.HOOKS,444017
2003,30,5,NO.HOOKS,557587
2003,30,10,NO.HOOKS,848077
2003,30,15,NO.HOOKS,332450
2003,35,0,NO.HOOKS,110300
2003,35,5,NO.HOOKS,819122
2003,35,10,NO.HOOKS,2443446
2003,35,15,NO.HOOKS,965904
2003,40,0,NO.HOOKS,1084054
2003,40,5,NO.HOOKS,3145318
2003,40,10,NO.HOOKS,4587288
2003,40,15,NO.HOOKS,1496736
2003,45,15,NO.HOOKS,139197
2004,0,0,NO.HOOKS,2187954
2004,0,5,NO.HOOKS,1633622
2004,0,10,NO.HOOKS,113765
2004,5,0,NO.HOOKS,2093938
2004,5,5,NO.HOOKS,1846707
2004,5,10,NO.HOOKS,503497
2004,10,0,NO.HOOKS,1304494
2004,10,5,NO.HOOKS,883265
2004,10,10,NO.HOOKS,1242557
2004,15,0,NO.HOOKS,1323915
2004,15,5,NO.HOOKS,4960531
2004,15,10,NO.HOOKS,3956002
2004,20,0,NO.HOOKS,2413750
2004,20,5,NO.HOOKS,1099747
2004,20,10,NO.HOOKS,1621865
2004,25,0,NO.HOOKS,1620901
2004,25,5,NO.HOOKS,2880905
2004,25,10,NO.HOOKS,2142232
2004,25,15,NO.HOOKS,1700
2004,30,0,NO.HOOKS,254258
2004,30,5,NO.HOOKS,1011171
2004,30,10,NO.HOOKS,1136256
2004,30,15,NO.HOOKS,627931
2004,35,0,NO.HOOKS,775294
2004,35,5,NO.HOOKS,999944
2004,35,10,NO.HOOKS,869201
2004,35,15,NO.HOOKS,543954
2004,40,0,NO.HOOKS,243264
2004,40,5,NO.HOOKS,52786
2004,40,10,NO.HOOKS,82911
2004,40,15,NO.HOOKS,240662
2005,0,0,NO.HOOKS,2431673
2005,0,5,NO.HOOKS,906776
2005,0,10,NO.HOOKS,6212
2005,5,0,NO.HOOKS,1772805
2005,5,5,NO.HOOKS,1078893
2005,5,10,NO.HOOKS,136132
2005,10,0,NO.HOOKS,343895
2005,10,5,NO.HOOKS,604173
2005,10,10,NO.HOOKS,240140
2005,15,0,NO.HOOKS,1957974
2005,15,5,NO.HOOKS,2143097
2005,15,10,NO.HOOKS,1245344
2005,19,2,NO.HOOKS,83200
2005,20,0,NO.HOOKS,1473011
2005,20,1,NO.HOOKS,15600
2005,20,2,NO.HOOKS,46800
2005,20,5,NO.HOOKS,549468
2005,20,10,NO.HOOKS,1232224
2005,21,0,NO.HOOKS,41600
2005,21,1,NO.HOOKS,31200
2005,21,10,NO.HOOKS,5200
2005,22,0,NO.HOOKS,93600
2005,23,0,NO.HOOKS,41600
2005,24,0,NO.HOOKS,41600
2005,24,12,NO.HOOKS,10400
2005,25,0,NO.HOOKS,2140265
2005,25,2,NO.HOOKS,5200
2005,25,5,NO.HOOKS,1009675
2005,25,10,NO.HOOKS,1235129
2005,25,12,NO.HOOKS,182000
2005,25,13,NO.HOOKS,41600
2005,25,14,NO.HOOKS,5200
2005,25,15,NO.HOOKS,15090
2005,26,0,NO.HOOKS,72800
2005,26,2,NO.HOOKS,10400
2005,26,4,NO.HOOKS,5200
2005,26,10,NO.HOOKS,10400
2005,26,12,NO.HOOKS,202800
2005,26,13,NO.HOOKS,98800
2005,26,14,NO.HOOKS,10400
2005,27,0,NO.HOOKS,57200
2005,27,1,NO.HOOKS,72800
2005,27,2,NO.HOOKS,270400
2005,27,3,NO.HOOKS,119600
2005,27,4,NO.HOOKS,93600
2005,27,5,NO.HOOKS,26000
2005,27,6,NO.HOOKS,31200
2005,27,7,NO.HOOKS,5200
2005,27,8,NO.HOOKS,31200
2005,27,9,NO.HOOKS,36400
2005,27,10,NO.HOOKS,5200
2005,27,11,NO.HOOKS,20800
2005,27,12,NO.HOOKS,275600
2005,27,13,NO.HOOKS,10400
2005,28,2,NO.HOOKS,10400
2005,28,3,NO.HOOKS,10400
2005,28,13,NO.HOOKS,5200
2005,30,0,NO.HOOKS,1614701
2005,30,5,NO.HOOKS,874935
2005,30,10,NO.HOOKS,1255234
2005,30,15,NO.HOOKS,259065
2005,35,0,NO.HOOKS,578138
2005,35,5,NO.HOOKS,383810
2005,35,10,NO.HOOKS,972638
2005,35,15,NO.HOOKS,697476
2005,40,0,NO.HOOKS,461464
2005,40,5,NO.HOOKS,246184
2005,40,10,NO.HOOKS,457403
2005,40,15,NO.HOOKS,641042
2005,45,5,NO.HOOKS,9718
2005,45,10,NO.HOOKS,3370
2005,45,15,NO.HOOKS,238291
2006,0,0,NO.HOOKS,2622282
2006,0,5,NO.HOOKS,2299832
2006,0,10,NO.HOOKS,199332
2006,5,0,NO.HOOKS,1772470
2006,5,5,NO.HOOKS,2884560
2006,5,10,NO.HOOKS,59169
2006,10,0,NO.HOOKS,1125858
2006,10,5,NO.HOOKS,2733110
2006,10,10,NO.HOOKS,667764
2006,15,0,NO.HOOKS,1454410
2006,15,5,NO.HOOKS,5388705
2006,15,10,NO.HOOKS,1596228
2006,20,0,NO.HOOKS,2187187
2006,20,5,NO.HOOKS,970760
2006,20,10,NO.HOOKS,2342614
2006,21,0,NO.HOOKS,15000
2006,21,10,NO.HOOKS,5000
2006,22,0,NO.HOOKS,126600
2006,22,1,NO.HOOKS,65400
2006,22,2,NO.HOOKS,163600
2006,23,2,NO.HOOKS,215400
2006,23,3,NO.HOOKS,20200
2006,24,0,NO.HOOKS,5000
2006,24,1,NO.HOOKS,10000
2006,24,2,NO.HOOKS,26000
2006,24,3,NO.HOOKS,10400
2006,24,9,NO.HOOKS,5200
2006,25,0,NO.HOOKS,1150618
2006,25,1,NO.HOOKS,50600
2006,25,2,NO.HOOKS,46000
2006,25,3,NO.HOOKS,10200
2006,25,5,NO.HOOKS,1914152
2006,25,10,NO.HOOKS,2226448
2006,25,15,NO.HOOKS,19490
2006,26,1,NO.HOOKS,5000
2006,26,2,NO.HOOKS,20000
2006,26,3,NO.HOOKS,10400
2006,27,3,NO.HOOKS,25400
2006,27,4,NO.HOOKS,5000
2006,27,6,NO.HOOKS,51600
2006,27,7,NO.HOOKS,20000
2006,27,8,NO.HOOKS,5000
2006,28,7,NO.HOOKS,5000
2006,28,8,NO.HOOKS,10000
2006,28,9,NO.HOOKS,5000
2006,29,8,NO.HOOKS,15200
2006,29,9,NO.HOOKS,396000
2006,29,10,NO.HOOKS,240000
2006,29,11,NO.HOOKS,35000
2006,30,0,NO.HOOKS,1477651
2006,30,5,NO.HOOKS,1155311
2006,30,8,NO.HOOKS,36400
2006,30,9,NO.HOOKS,285800
2006,30,10,NO.HOOKS,1671672
2006,30,11,NO.HOOKS,5000
2006,30,15,NO.HOOKS,176210
2006,31,3,NO.HOOKS,20000
2006,31,4,NO.HOOKS,30000
2006,31,5,NO.HOOKS,128200
2006,31,6,NO.HOOKS,56800
2006,31,7,NO.HOOKS,52000
2006,31,8,NO.HOOKS,52000
2006,31,9,NO.HOOKS,67600
2006,31,10,NO.HOOKS,10400
2006,32,3,NO.HOOKS,15000
2006,32,4,NO.HOOKS,45000
2006,32,5,NO.HOOKS,95000
2006,32,6,NO.HOOKS,87200
2006,32,7,NO.HOOKS,5200
2006,32,8,NO.HOOKS,10400
2006,32,9,NO.HOOKS,5200
2006,33,8,NO.HOOKS,15600
2006,33,9,NO.HOOKS,66400
2006,34,8,NO.HOOKS,40800
2006,34,9,NO.HOOKS,30800
2006,35,0,NO.HOOKS,1647887
2006,35,5,NO.HOOKS,3486397
2006,35,8,NO.HOOKS,45000
2006,35,10,NO.HOOKS,1335336
2006,35,15,NO.HOOKS,1019094
2006,36,8,NO.HOOKS,5000
2006,36,9,NO.HOOKS,15000
2006,36,10,NO.HOOKS,10000
2006,40,0,NO.HOOKS,292183
2006,40,5,NO.HOOKS,165781
2006,40,10,NO.HOOKS,656603
2006,40,15,NO.HOOKS,516901
2006,45,15,NO.HOOKS,3753
2007,0,0,NO.HOOKS,6285781
2007,0,5,NO.HOOKS,6702779
2007,0,10,NO.HOOKS,438960
2007,5,0,NO.HOOKS,3560770
2007,5,5,NO.HOOKS,3749833
2007,5,10,NO.HOOKS,1295873
2007,10,0,NO.HOOKS,2667359
2007,10,5,NO.HOOKS,2543321
2007,10,10,NO.HOOKS,2074719
2007,15,0,NO.HOOKS,2137349
2007,15,5,NO.HOOKS,3071656
2007,15,10,NO.HOOKS,1904927
2007,20,0,NO.HOOKS,1192892
2007,20,5,NO.HOOKS,783596
2007,20,10,NO.HOOKS,906880
2007,25,0,NO.HOOKS,750103
2007,25,5,NO.HOOKS,720143
2007,25,10,NO.HOOKS,1168619
2007,25,15,NO.HOOKS,56339
2007,30,0,NO.HOOKS,339851
2007,30,5,NO.HOOKS,420225
2007,30,10,NO.HOOKS,393163
2007,30,15,NO.HOOKS,562026
2007,35,0,NO.HOOKS,581819
2007,35,5,NO.HOOKS,1198116
2007,35,10,NO.HOOKS,1502157
2007,35,15,NO.HOOKS,1058169
2007,40,0,NO.HOOKS,132326
2007,40,5,NO.HOOKS,224319
2007,40,10,NO.HOOKS,333681
2007,40,15,NO.HOOKS,150757
2007,45,10,NO.HOOKS,3531
2008,0,0,NO.HOOKS,2690108
2008,0,5,NO.HOOKS,2469811
2008,0,10,NO.HOOKS,227406
2008,5,0,NO.HOOKS,2793354
2008,5,5,NO.HOOKS,2208101
2008,5,10,NO.HOOKS,1448145
2008,10,0,NO.HOOKS,1739698
2008,10,5,NO.HOOKS,1198722
2008,10,10,NO.HOOKS,912360
2008,15,0,NO.HOOKS,484504
2008,15,5,NO.HOOKS,5115207
2008,15,10,NO.HOOKS,1239002
2008,20,0,NO.HOOKS,1618156
2008,20,5,NO.HOOKS,1387460
2008,20,10,NO.HOOKS,901906
2008,25,0,NO.HOOKS,1677974
2008,25,5,NO.HOOKS,3986129
2008,25,10,NO.HOOKS,1352189
2008,25,15,NO.HOOKS,7000
2008,30,0,NO.HOOKS,290605
2008,30,5,NO.HOOKS,989123
2008,30,10,NO.HOOKS,772363
2008,30,15,NO.HOOKS,298682
2008,35,0,NO.HOOKS,303970
2008,35,5,NO.HOOKS,350840
2008,35,10,NO.HOOKS,645024
2008,35,15,NO.HOOKS,1228899
2008,40,0,NO.HOOKS,631599
2008,40,5,NO.HOOKS,448180
2008,40,10,NO.HOOKS,692214
2008,40,15,NO.HOOKS,2185482
2008,45,5,NO.HOOKS,3242
2008,45,10,NO.HOOKS,66325
2008,45,15,NO.HOOKS,268683
2009,0,0,NO.HOOKS,4150370
2009,0,3,NO.HOOKS,30688
2009,0,5,NO.HOOKS,2083451
2009,0,10,NO.HOOKS,378819
2009,5,0,NO.HOOKS,2241183
2009,5,5,NO.HOOKS,1398823
2009,5,10,NO.HOOKS,2090473
2009,10,0,NO.HOOKS,1554887
2009,10,5,NO.HOOKS,740888
2009,10,10,NO.HOOKS,831927
2009,15,0,NO.HOOKS,223361
2009,15,5,NO.HOOKS,2327169
2009,15,10,NO.HOOKS,1190011
2009,20,0,NO.HOOKS,1943939
2009,20,5,NO.HOOKS,1605321
2009,20,10,NO.HOOKS,544835
