Year,Month,Day,LAT,LON,DURATION,HOOKS_SET
2002,3,10,21,12,8.883333333,19200
2011,11,16,24,13,5,18000
2000,10,23,19,11,8,19200
2005,10,10,19,11,7,32000
2013,1,5,22,12,7.216666667,18000
2005,11,30,22,12,6.416666667,32000
2016,12,18,21,12,6.666666667,18000
2011,11,17,24,13,5.866666667,18000
2015,6,4,23,13,5.85,18000
2005,10,11,19,11,6,32000
2015,3,9,22,12,6.233333333,18000
2015,3,15,22,12,7.9,18000
2013,11,21,22,12,6.416666667,18000
2006,11,21,20,12,6.283333333,32000
2005,12,20,20,12,5.75,26000
2014,6,11,24,13,14.76666667,18000
2011,7,28,24,13,17.16666667,18000
2014,9,11,24,13,7,18000
2012,11,28,23,13,5.75,18000
2003,2,25,21,12,15.13333333,10368
2000,10,25,19,11,8,19200
2013,1,6,22,12,7,18000
2001,2,6,21,12,9,19200
2012,3,28,21,12,1.25,18000
2007,1,19,20,12,5,18000
2013,4,24,24,13,8,18000
2014,11,10,24,13,6.583333333,18000
2013,12,7,24,13,2.3,18000
2011,6,18,23,13,6.266666667,18000
2002,3,6,21,12,8.35,19200
2016,4,16,22,12,6.4,18000
2015,3,13,22,12,5.866666667,18000
2015,3,13,22,12,6.05,18000
2013,1,4,21,12,4.716666667,18000
2016,9,10,21,12,8.466666667,18000
2010,3,15,21,12,20.03333333,18000
2010,4,11,21,12,6.583333333,18000
2015,3,22,21,12,6.7,18000
2014,2,22,24,13,6.583333333,18000
2013,11,14,24,13,6.95,18000
2012,11,30,23,13,7.6,18000
2014,12,18,22,13,5.966666667,18000
2005,10,8,19,11,7.5,32000
2003,2,6,19,11,4.166666667,12800
2003,2,7,19,11,4.233333333,10112
2003,3,4,21,12,9.8,21504
2005,10,30,21,12,7.833333333,32000
2003,6,8,23,13,7.333333333,11200
2003,7,3,23,13,7.066666667,11200
2006,5,31,22,13,6.5,30000
2003,2,7,19,11,16.35,10112
2005,12,8,21,12,5,26000
2003,7,2,24,13,7.716666667,21500
2014,1,19,24,13,9.75,18000
2012,11,27,23,13,3.733333333,18000
2010,3,28,23,13,5.466666667,18000
2001,1,7,23,13,8,19200
2014,12,5,21,13,7,18000
2000,10,18,19,11,8,19200
2013,3,26,22,12,7.666666667,18000
2015,3,16,22,12,5.983333333,18000
2013,1,12,21,12,6.666666667,18000
2012,9,17,21,12,6.466666667,18000
2010,12,10,21,12,1.85,18000
2010,12,3,21,12,5.966666667,18000
2016,5,6,21,12,6.716666667,18000
2016,4,11,21,12,6.95,18000
2016,9,9,21,12,4.666666667,18000
2016,4,10,21,12,6.716666667,18000
2010,3,17,21,12,18.3,18000
2006,11,23,21,12,8.533333333,32000
2003,2,25,21,12,7.533333333,10112
2015,3,21,21,12,5.616666667,18000
