"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","parameter"
0.771889051677307,0.142217090766197,0.46344307966511,0.675141949441433,0.789705689106732,0.886474777269495,0.98339214299718,1.00257332114802,1033,0,1,"ann.surv[1,1]"
0.920351334660835,0.0599437636471221,0.771820532364265,0.887468789951102,0.933927085128506,0.96691892889124,0.995559448315001,1.00277399563071,1078,0,1,"ann.surv[2,1]"
0.791747555408553,0.130598761280383,0.505745363804078,0.704178363363214,0.809033767605827,0.896515444222049,0.98503902672929,1.00420013424066,687,0,1,"ann.surv[1,2]"
0.929065998559998,0.053138814705122,0.797763216154159,0.899938266588556,0.940789173111581,0.970134010606882,0.996069710389254,1.00435133640714,758,0,1,"ann.surv[2,2]"
0.752943207729132,0.145843143409239,0.447582296303988,0.649935781339867,0.767904718622475,0.870400028422334,0.979889770383736,1.00732703476784,408,0,1,"ann.surv[1,3]"
0.912161464075731,0.063317123464098,0.75956143835142,0.875537173496931,0.925411440180379,0.961674939745467,0.994620738632911,1.00867127243564,429,0,1,"ann.surv[2,3]"
0.78609688266064,0.135681618989894,0.489277390250214,0.69413209976018,0.804525022284977,0.89575205602665,0.984826771958527,1.00496160880688,569,0,1,"ann.surv[1,4]"
0.926522119316259,0.0557772983847393,0.78807603125207,0.895463940103774,0.939334500369852,0.969954119840764,0.995977240290895,1.00430048031186,726,0,1,"ann.surv[2,4]"
0.828092906689843,0.119869930121463,0.551268972045808,0.75298610691746,0.848167610874316,0.925277560066136,0.991011429604853,1.00279606697875,929,0,1,"ann.surv[1,5]"
0.943160376434711,0.0467937521016161,0.823978226573089,0.919548998029667,0.954714791677351,0.979130907729989,0.997629342612953,1.00237595023259,1288,0,1,"ann.surv[2,5]"
0.492291074144492,0.11909441024191,0.301722530370801,0.404099398239324,0.477926255925517,0.5662931820878,0.761252605514972,1.01056168827643,266,0,1,"ann.surv[1,6]"
0.775414948359215,0.0757145742579613,0.633509604479441,0.721163479188344,0.774399306467665,0.829486125906318,0.922229489364431,1.01123787715068,236,0,1,"ann.surv[2,6]"
0.908170546307956,0.0668176688008446,0.745165396377056,0.870621939416463,0.922264374656805,0.959805454413365,0.994672926349184,1.0014449010938,1814,0,1,"ann.surv[1,7]"
0.972760134954362,0.0217916525201342,0.917056491574315,0.962071824277514,0.978116197917399,0.989051368579567,0.998599153951251,1.00137859444066,1968,0,1,"ann.surv[2,7]"
0.399418144332374,0.0490381633152449,0.307545356895718,0.365662650468239,0.398031112155452,0.431177970392371,0.500120350178412,1.00119439763146,3034,0,1,"ann.surv[1,8]"
0.71324221943374,0.0343927941858535,0.644270276502184,0.690547319012045,0.713713056569324,0.736584762537321,0.779258837543677,1.00160369932098,2139,0,1,"ann.surv[2,8]"
0.945477680247957,0.039101291783441,0.849676302630605,0.923886264471804,0.953701130275552,0.975593748374843,0.99628465924026,1.00147282531216,2202,0,1,"ann.surv[1,9]"
0.9845889796884,0.0116843219202915,0.955036771525581,0.978597361589281,0.987279542638567,0.993424262527406,0.999015559556396,1.00136926546645,2499,0,1,"ann.surv[2,9]"
0.623884980259177,0.0630542867977657,0.507269637339106,0.58064433414917,0.621306081671154,0.66446597249178,0.756092626688044,1.00007266779673,32086,0,1,"ann.surv[1,10]"
0.860663385714792,0.0302515209274823,0.800685839150681,0.840214454716145,0.860901035260598,0.88085208203933,0.920034748784289,1.00015445320399,28036,0,1,"ann.surv[2,10]"
0.513820036142676,0.0548995223189197,0.409314066464757,0.476195894303072,0.512844828221849,0.550261022799932,0.625459393750383,1.0001616878585,20953,0,1,"ann.surv[1,11]"
0.79785022161244,0.0327620872117308,0.731323442213701,0.776256248474855,0.79857245907388,0.820393066875315,0.859311992139027,1.00018551114528,15281,0,1,"ann.surv[2,11]"
0.843806263137873,0.079314376515585,0.682937395910365,0.788648115857124,0.846569153590703,0.903523659104654,0.981902715423157,1.00110422390578,2285,0,1,"ann.surv[1,12]"
0.951415306917768,0.0276516718715912,0.89098346879049,0.933511655052015,0.954048622243027,0.972547584844666,0.995245525937676,1.00075133054649,3338,0,1,"ann.surv[2,12]"
0.549791051031164,0.0622981628920094,0.434578028854964,0.506570897533481,0.547476317125839,0.590407447623804,0.678571537126279,1.00007798891722,39977,0,1,"ann.surv[1,13]"
0.819893195382217,0.0334310359625717,0.753732617270273,0.797216457888114,0.820190421192055,0.842833526547278,0.885024258304566,1.00026223547954,9039,0,1,"ann.surv[2,13]"
0.796303812155595,0.0628144105950622,0.672881520576639,0.753940170402184,0.796762501100615,0.838528783170971,0.919328932238068,1.00066771248464,4594,0,1,"ann.surv[1,14]"
0.935177451142428,0.023711135632438,0.884206909165216,0.920040190743012,0.936650683549588,0.951753619801996,0.978036010135113,1.00079745202576,3903,0,1,"ann.surv[2,14]"
0.756655536024571,0.0688080672250263,0.620947969610501,0.710363898912184,0.75703599413639,0.803137157617056,0.891392971149034,1.00121207199526,2297,0,1,"ann.surv[1,15]"
0.920109838947149,0.0265231219080876,0.864331777570537,0.903034411026759,0.921453794972606,0.938612166529191,0.968445989840914,1.00089532380968,3066,0,1,"ann.surv[2,15]"
0.868175451765182,0.0689285673698855,0.725294951582653,0.821269291411804,0.872356636895357,0.919593930448153,0.986144147900194,1.00065642399229,9209,0,1,"ann.surv[1,16]"
0.960001855989241,0.0230798057013973,0.909147274196643,0.945234207489112,0.962553919637305,0.977397749424964,0.996372305819318,1.00096012011107,5598,0,1,"ann.surv[2,16]"
